"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","03.01.2024 14:30 - 03.01.2024 14:45 (CET/CEST)","5376","3800"
"BZN|ES","03.01.2024 14:45 - 03.01.2024 15:00 (CET/CEST)","5160","3696"
"BZN|ES","03.01.2024 15:00 - 03.01.2024 15:15 (CET/CEST)","4960","3360"
"BZN|ES","03.01.2024 15:15 - 03.01.2024 15:30 (CET/CEST)","4836","3092"
"BZN|ES","03.01.2024 15:30 - 03.01.2024 15:45 (CET/CEST)","4584","2764"
"BZN|ES","03.01.2024 15:45 - 03.01.2024 16:00 (CET/CEST)","4132","2500"
"BZN|ES","03.01.2024 16:00 - 03.01.2024 16:15 (CET/CEST)","3692","2156"
"BZN|ES","03.01.2024 16:15 - 03.01.2024 16:30 (CET/CEST)","3216","1936"
"BZN|ES","03.01.2024 16:30 - 03.01.2024 16:45 (CET/CEST)","2832","1908"
"BZN|ES","03.01.2024 16:45 - 03.01.2024 17:00 (CET/CEST)","2464","1612"
"BZN|ES","03.01.2024 17:00 - 03.01.2024 17:15 (CET/CEST)","1956","1272"
"BZN|ES","03.01.2024 17:15 - 03.01.2024 17:30 (CET/CEST)","1420","1048"
"BZN|ES","03.01.2024 17:30 - 03.01.2024 17:45 (CET/CEST)","952","640"
"BZN|ES","03.01.2024 17:45 - 03.01.2024 18:00 (CET/CEST)","552","348"
"BZN|ES","03.01.2024 18:00 - 03.01.2024 18:15 (CET/CEST)","256","176"
"BZN|ES","03.01.2024 18:15 - 03.01.2024 18:30 (CET/CEST)","104","48"
"BZN|ES","03.01.2024 18:30 - 03.01.2024 18:45 (CET/CEST)","60","16"
"BZN|ES","03.01.2024 18:45 - 03.01.2024 19:00 (CET/CEST)","48","12"
"BZN|ES","03.01.2024 19:00 - 03.01.2024 19:15 (CET/CEST)","44","8"
"BZN|ES","03.01.2024 19:15 - 03.01.2024 19:30 (CET/CEST)","44","8"
"BZN|ES","03.01.2024 19:30 - 03.01.2024 19:45 (CET/CEST)","40","8"
"BZN|ES","03.01.2024 19:45 - 03.01.2024 20:00 (CET/CEST)","40","8"
"BZN|ES","03.01.2024 20:00 - 03.01.2024 20:15 (CET/CEST)","40","8"
"BZN|ES","03.01.2024 20:15 - 03.01.2024 20:30 (CET/CEST)","40","8"
"BZN|ES","03.01.2024 20:30 - 03.01.2024 20:45 (CET/CEST)","20","8"
"BZN|ES","03.01.2024 20:45 - 03.01.2024 21:00 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 21:00 - 03.01.2024 21:15 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 21:15 - 03.01.2024 21:30 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 21:30 - 03.01.2024 21:45 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 21:45 - 03.01.2024 22:00 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 22:00 - 03.01.2024 22:15 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 22:15 - 03.01.2024 22:30 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 22:30 - 03.01.2024 22:45 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 22:45 - 03.01.2024 23:00 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 23:00 - 03.01.2024 23:15 (CET/CEST)","4","8"
